org_key,year,event_key,match_key,match_number,time,alliance,team_key,startingPosition,autofuel,AutoSetsOfFuel,Autofuelpassed,AutoPassingSetsOfFuel,AutoClimb,SingleFuel,SetsOfFuel,fuelpassed,PassingSetsOfFuel,PassfuelNeutral,PassfuelOpposing,Defense,climbingStartTime,climbingStopTime,Climb,diedDuringMatch,recoveredFromFreeze,autoclimb,totalEndgamePoints,totalAutoPoints,totalTeleopPoints,contributedPoints,totalAutofuelscored,totalTeleopfuelscored,totalfuelscored,TotalAutofuelPassed,TotalTeleopfuelPassed,Totalfuelpassed,ClimbTime,Reliability
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,red,frc4611,"Depot Side","0","0","0","0","Did not climb","3","14","0","7","1","0","0","0","0","Did not climb","0","0","0","0","0","73","73","0","73","73","0","35","35","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,red,frc379,"Middle","0","0","0","0","Did not climb","0","0","0","3","1","0","1","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","15","15","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,red,frc4096,"Outpost Side","0","3","0","0","Did not climb","0","13","0","6","1","0","0","0","0","Did not climb","0","0","0","0","15","65","80","15","65","80","0","30","30","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,blue,frc432,"Depot Side","0","0","0","0","Did not climb","5","1","0","3","1","0","0","0","0","Did not climb","0","0","0","0","0","10","10","0","10","10","0","15","15","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,blue,frc10011,"Depot Side","0","0","0","0","Did not climb","0","0","0","0","1","1","1","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm1,1,4/3/2026 12:50:00 PM,blue,frc4467,"Outpost Side","0","0","0","0","Did not climb","4","29","0","0","0","0","0","0","0","Did not climb","0","0","0","0","0","149","149","0","149","149","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,red,frc4028,"Outpost Side","0","0","0","0","Did not climb","0","0","0","7","1","0","1","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","35","35","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,blue,frc1014,"Outpost Side","0","0","0","0","Did not climb","12","22","0","0","0","0","1","0","0","Did not climb","0","0","0","0","0","122","122","0","122","122","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,blue,frc4601,"Middle","0","0","0","0","Did not climb","2","1","1","4","1","0","0","0","0","Did not climb","0","0","0","0","0","7","7","0","7","7","0","21","21","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,blue,frc9097,"Depot Side","0","0","0","5","Did not climb","0","0","0","9","1","1","1","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","25","45","70","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,red,frc6964,"Depot Side","2","0","0","0","Did not climb","11","0","0","0","1","0","0","0","0","Did not climb","0","0","0","0","2","11","13","2","11","13","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm2,2,4/3/2026 12:59:00 PM,red,frc3324,"Middle","0","0","0","0","Did not climb","3","0","0","0","0","0","1","0","0","Did not climb","0","0","0","0","0","3","3","0","3","3","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,red,frc2399,"Outpost Side","0","0","0","0","Did not climb","0","0","3","18","0","0","0","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","93","93","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,blue,frc1756,"Outpost Side","0","0","0","0","Did not climb","0","12","0","10","1","0","0","0","0","Did not climb","0","0","0","0","0","60","60","0","60","60","0","50","50","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,blue,frc2172,"Middle","2","1","0","0","Did not climb","5","0","1","1","0","0","1","0","0","Did not climb","0","0","0","0","7","5","12","7","5","12","0","6","6","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,blue,frc3814,"Depot Side","4","0","0","0","Did not climb","6","1","0","0","0","0","0","0","0","Did not climb","0","0","0","0","4","11","15","4","11","15","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,red,frc10987,"Depot Side","1","0","0","0","Did not climb","0","0","0","0","1","0","0","0","0","Did not climb","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm3,3,4/3/2026 1:08:00 PM,red,frc10207,"Middle","0","0","0","0","Did not climb","0","0","0","16","0","0","0","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","80","80","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,blue,frc325,"Outpost Side","2","3","0","0","Did not climb","5","2","0","5","1","0","0","0","0","Did not climb","0","0","0","0","17","15","32","17","15","32","0","25","25","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,blue,frc554,"Middle","0","2","0","0","Did not climb","0","8","0","0","0","0","0","0","0","Did not climb","0","0","0","0","10","40","50","10","40","50","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,red,frc2010,"Outpost Side","0","1","0","0","Did not climb","2","2","0","0","0","0","0","0","0","Did not climb","0","0","0","0","5","12","17","5","12","17","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,red,frc1736,"Middle","0","1","0","0","Did not climb","0","10","0","3","0","0","0","0","0","Did not climb","0","0","0","0","5","50","55","5","50","55","0","15","15","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,red,frc4145,"Depot Side","0","0","1","6","Did not climb","0","3","3","9","0","0","0","0","0","Did not climb","1","0","0","0","0","15","15","0","15","15","31","48","79","0","0"
steelcity,2026,2026ohmv,2026ohmv_qm4,4,4/3/2026 1:17:00 PM,blue,frc6237,"Depot Side","3","1","0","0","Did not climb","0","13","0","0","0","0","0","0","0","Did not climb","0","0","0","0","8","65","73","8","65","73","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,red,frc10208,"Depot Side","0","0","0","0","Did not climb","0","0","0","0","1","0","1","19","0","L1","0","0","0","10","0","0","10","0","0","0","0","0","0","19","1"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,red,frc9139,"Not There","0","0","0","0","Did not climb","0","0","0","0","0","0","0","0","0","Did not climb","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,blue,frc578,"Outpost Side","0","0","0","0","Did not climb","0","0","0","2","0","0","0","0","0","Did not climb","1","1","0","0","0","0","0","0","0","0","0","10","10","0","0.5"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,blue,frc2338,"Depot Side","0","8","0","0","Did not climb","10","17","0","10","0","0","0","0","0","Did not climb","0","0","0","0","40","95","135","40","95","135","0","50","50","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,red,frc9075,"Middle","0","1","0","0","L1","1","3","0","0","0","0","0","12","3","L1","0","1","15","10","20","16","46","5","16","21","0","0","0","9","1.5"
steelcity,2026,2026ohmv,2026ohmv_qm5,5,4/3/2026 1:26:00 PM,blue,frc3138,"Middle","3","2","0","0","Did not climb","0","9","0","0","0","0","0","0","0","Did not climb","0","0","0","0","13","45","58","13","45","58","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,red,frc695,"Depot Side","0","4","0","0","Did not climb","0","0","0","0","1","0","1","0","0","Did not climb","0","0","0","0","20","0","20","20","0","20","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,red,frc144,"Middle","2","1","0","0","Did not climb","0","1","0","2","0","0","0","0","0","Did not climb","0","0","0","0","7","5","12","7","5","12","0","10","10","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,blue,frc2228,"Middle","4","1","0","0","Did not climb","4","20","0","0","0","0","1","0","0","Did not climb","0","0","0","0","9","104","113","9","104","113","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,blue,frc2614,"Depot Side","2","1","0","0","Did not climb","0","0","0","5","0","0","1","0","0","Did not climb","0","0","0","0","7","0","7","7","0","7","0","25","25","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,blue,frc8145,"Middle","2","1","0","0","Did not climb","2","2","0","2","1","0","1","0","0","Did not climb","0","0","0","0","7","12","19","7","12","19","0","10","10","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm6,6,4/3/2026 1:35:00 PM,red,frc4085,"Outpost Side","3","3","0","0","Did not climb","2","9","0","7","1","0","0","0","0","Did not climb","0","0","0","0","18","47","65","18","47","65","0","35","35","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,red,frc1787,"Depot Side","1","7","0","0","Did not climb","0","23","0","11","1","1","1","0","0","Did not climb","0","0","0","0","36","115","151","36","115","151","0","55","55","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,blue,frc677,"Middle","0","0","0","0","Did not climb","0","0","0","0","0","0","0","0","0","Did not climb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,blue,frc5667,"Depot Side","0","4","0","0","Did not climb","6","11","0","0","0","0","0","0","0","Did not climb","0","0","0","0","20","61","81","20","61","81","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,red,frc2603,"Middle","3","1","0","0","Did not climb","0","9","3","5","1","0","0","0","0","Did not climb","0","0","0","0","8","45","53","8","45","53","0","28","28","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,red,frc2252,"Outpost Side","0","6","0","0","Did not climb","10","24","0","4","1","0","0","0","0","Did not climb","0","0","0","0","30","130","160","30","130","160","0","20","20","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm7,7,4/3/2026 1:44:00 PM,blue,frc6302,"Outpost Side","0","0","0","0","Did not climb","4","8","0","0","0","0","0","0","0","Did not climb","0","0","0","0","0","44","44","0","44","44","0","0","0","0","1"
steelcity,2026,2026ohmv,2026ohmv_qm8,8,4/3/2026 1:53:00 PM,red,frc8243,"Middle","4","0","0","0","Did not climb","0","0","3","9","1","0","1","0","0","Did not climb","1","0","0","0","4","0","4","4","0","4","0","48","48","0","0"
